depth,tempdepth,temp,EdZTilt,EdZRoll,EdZPitch,Ed0Tilt,Ed0Roll,Ed0Pitch
1.616094,1.969094,21.52198,3.4049,3.216805,1.118372,-2.586644,-1.607768,2.027343
1.626434,1.979434,21.51678,3.4049,3.216805,1.118372,-2.543846,-1.537848,2.027343
1.638354,1.991354,21.52051,3.29486,3.146803,0.9785607,-2.502268,-1.46793,2.027343
1.648948,2.001948,21.51818,3.274861,3.146803,0.9086576,-2.461972,-1.398015,2.027343
1.66121,2.01421,21.51767,3.239002,3.146803,0.7688549,-2.326375,-1.25819,1.957407
1.672247,2.025247,21.50715,3.140212,3.076806,0.6290568,-2.253942,-1.118372,1.957407
1.684491,2.037491,21.51524,3.115316,3.076806,0.4892626,-2.253942,-1.118372,1.957407
1.696784,2.049784,21.51537,3.02698,3.006814,0.3494712,-2.229916,-1.18828,1.887474
1.708117,2.061117,21.51403,3.014089,3.006814,0.2096819,-2.193514,-1.118372,1.887474
1.71994,2.07294,21.51595,3.077597,3.076806,0.06989381,-2.289379,-1.18828,1.957407
1.730539,2.083539,21.51335,3.077597,3.076806,-0.06989381,-2.364858,-1.328101,1.957407
1.742509,2.095509,21.51946,3.083915,3.076806,-0.2096819,-2.326375,-1.25819,1.957407
1.753154,2.106154,21.51109,3.096514,3.076806,-0.3494712,-2.502268,-1.46793,2.027343
1.764658,2.117658,21.51577,3.174513,3.146803,-0.4193665,-2.502268,-1.46793,2.027343
1.776486,2.129486,21.51625,3.18446,3.146803,-0.4892626,-2.684812,-1.677691,2.097282
1.787403,2.140403,21.51083,3.26484,3.216805,-0.5591593,-2.820424,-1.887474,2.097282
1.798676,2.151676,21.51828,3.333829,3.286811,-0.5591593,-2.867612,-1.957407,2.097282
1.810134,2.163134,21.5092,3.346208,3.286811,-0.6290568,-2.966337,-2.167225,2.027343
1.822234,2.175234,21.51582,3.346208,3.286811,-0.6290568,-3.132104,-2.447027,1.957407
1.833461,2.186461,21.51882,3.483828,3.426839,-0.6290568,-3.132104,-2.447027,1.957407
1.84405,2.19705,21.52052,3.497062,3.426839,-0.6989553,-3.02423,-2.307119,1.957407
1.854652,2.207652,21.52238,3.443356,3.356823,-0.7688549,-3.24243,-2.58695,1.957407
1.866338,2.219338,21.51686,3.511631,3.426839,-0.7688549,-3.452467,-2.796863,2.027343
1.877219,2.230219,21.51618,3.565691,3.496861,-0.6989553,-3.452467,-2.796863,2.027343
1.888949,2.241949,21.53203,3.497062,3.426839,-0.6989553,-3.452467,-2.796863,2.027343
1.90007,2.25307,21.51364,3.497062,3.426839,-0.6989553,-3.550031,-2.866842,2.097282
1.910267,2.263267,21.51441,3.552716,3.496861,-0.6290568,-3.647655,-2.936826,2.167225
1.921217,2.274217,21.51434,3.471944,3.426839,-0.5591593,-3.70413,-3.006814,2.167225
1.933372,2.286372,21.503,3.452283,3.426839,-0.4193665,-3.647655,-2.936826,2.167225
1.944299,2.297299,21.52002,3.433218,3.426839,-0.2096819,-3.647655,-2.936826,2.167225
1.95469,2.30769,21.52081,3.426839,3.426839,0,-3.606683,-2.936826,2.097282
1.966937,2.319937,21.5194,3.438171,3.426839,0.2795763,-3.452467,-2.796863,2.027343
1.978155,2.331155,21.51481,3.402865,3.356823,0.5591593,-3.24243,-2.58695,1.957407
1.989266,2.342266,21.52076,3.527519,3.426839,0.8387555,-3.144619,-2.516986,1.887474
2.000983,2.353983,21.51401,3.582914,3.426839,1.048466,-3.186976,-2.516986,1.957407
2.012663,2.365663,21.51473,3.649484,3.426839,1.25819,-3.033952,-2.377071,1.887474
2.023372,2.376372,21.5146,3.635076,3.356823,1.398015,-2.979541,-2.307119,1.887474
2.034779,2.387779,21.51147,3.690858,3.356823,1.537848,-2.971295,-2.23717,1.957407
2.046939,2.399939,21.51251,3.7204,3.356823,1.607768,-2.971295,-2.23717,1.957407
2.059131,2.412131,21.51191,3.7204,3.356823,1.607768,-2.867612,-2.097282,1.957407
2.070294,2.423294,21.51449,3.690858,3.356823,1.537848,-2.767116,-1.957407,1.957407
2.082675,2.435675,21.51192,3.598404,3.286811,1.46793,-2.768888,-1.887474,2.027343
2.093745,2.446745,21.50929,3.453148,3.216805,1.25819,-2.768888,-1.887474,2.027343
2.105956,2.458956,21.50923,3.361755,3.216805,0.9785607,-2.623139,-1.747616,1.957407
2.118263,2.471263,21.50208,3.323912,3.216805,0.8387555,-2.718173,-1.887474,1.957407
2.129394,2.482394,21.50987,3.195899,3.146803,0.5591593,-2.768888,-1.887474,2.027343
2.141724,2.494724,21.50601,3.166072,3.146803,0.3494712,-2.630603,-1.677691,2.027343
2.153219,2.506219,21.51959,3.146803,3.146803,0,-2.675666,-1.747616,2.027343
2.1659,2.5189,21.50784,3.223603,3.216805,-0.2096819,-2.675666,-1.747616,2.027343
2.176185,2.529185,21.51073,3.243912,3.216805,-0.4193665,-2.630603,-1.677691,2.027343
2.188507,2.541507,21.50727,3.208815,3.146803,-0.6290568,-2.675666,-1.747616,2.027343
2.200657,2.553657,21.4935,3.239002,3.146803,-0.7688549,-2.675666,-1.747616,2.027343
2.212489,2.565489,21.49741,3.323912,3.216805,-0.8387555,-2.675666,-1.747616,2.027343
2.224049,2.577049,21.50465,3.342159,3.216805,-0.9086576,-2.684812,-1.677691,2.097282
2.235964,2.588964,21.5029,3.342159,3.216805,-0.9086576,-2.599875,-1.537848,2.097282
2.247971,2.600971,21.50106,3.40957,3.286811,-0.9086576,-2.684812,-1.677691,2.097282
2.259808,2.612808,21.50005,3.361755,3.216805,-0.9785607,-2.728975,-1.747616,2.097282
2.271857,2.624857,21.50519,3.342159,3.216805,-0.9086576,-2.543846,-1.537848,2.027343
2.283993,2.636993,21.49427,3.375156,3.286811,-0.7688549,-2.641761,-1.607768,2.097282
2.295535,2.648535,21.50285,3.428493,3.356823,-0.6989553,-2.774196,-1.817544,2.097282
2.307653,2.660653,21.49648,3.483828,3.426839,-0.6290568,-2.623139,-1.747616,1.957407
2.319069,2.672069,21.49941,3.541066,3.496861,-0.5591593,-2.768888,-1.887474,2.027343
2.33073,2.68373,21.49521,3.530755,3.496861,-0.4892626,-2.721778,-1.817544,2.027343
2.342567,2.695567,21.48975,3.59133,3.566888,-0.4193665,-2.768888,-1.887474,2.027343
2.353338,2.706338,21.50005,3.653582,3.63692,-0.3494712,-2.867612,-1.957407,2.097282
